"","match.id","player","series.id","end.time","duration..s.","mode","map","team","win.","score","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","ekia","assists","headshots","suicides","team.kills","team.deaths","kills..stayed.alive.","hits","shots","accuracy....","num.lives","time.alive..s.","avg.time.per.life..s.","fave.weapon","fave.specialist","fave.scorestreaks","hill.time..s.","hill.captures","hill.defends","snd.rounds","snd.firstbloods","snd.firstdeaths","snd.survives","bomb.pickups","bomb.plants","bomb.defuses","bomb.sneak.defuses","snd.1.kill.round","snd.2.kill.round","snd.3.kill.round","snd.4.kill.round","ctrl.rounds","ctrl.firstbloods","ctrl.firstdeaths","ctrl.captures","X2.piece","X3.piece","X4.piece","X4.streak","X5.streak","X6.streak","X7.streak","X8..streak","event"
"981","12526662440579361741","Brack","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Luminosity","W",250,34,15,19,2.27,33.1,14.6,4435,431.3,5376,41,7,0,0,0,0,0,0,0,"0.0%",16,0,"0.0","Maddox RFB","",NA,80,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,1,"Pro League"
"982","12526662440579361741","Breszy","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Enigma6","L",180,13,26,-13,0.5,12.6,25.3,2050,199.4,4286,16,4,0,0,1,0,0,0,0,"0.0%",26,0,"0.0","Saug 9mm","",NA,62,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,"Pro League"
"983","12526662440579361741","Formal","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Luminosity","W",250,29,24,5,1.21,28.2,23.3,3680,357.9,6192,38,9,2,0,0,0,0,0,0,"0.0%",24,0,"0.0","Maddox RFB","",NA,28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,"Pro League"
"984","12526662440579361741","General","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Enigma6","L",180,27,25,2,1.08,26.3,24.3,3815,371,5485,36,10,1,0,0,0,0,0,0,"0.0%",26,0,"0.0","KN-57","",NA,32,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,"Pro League"
"985","12526662440579361741","GodRx","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Enigma6","L",180,20,25,-5,0.8,19.4,24.3,3250,316,5134,32,13,0,0,0,0,0,0,0,"0.0%",25,0,"0.0","Maddox RFB","",NA,49,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,"Pro League"
"986","12526662440579361741","John","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Luminosity","W",250,15,24,-9,0.62,14.6,23.3,2725,265,3646,27,14,1,0,0,0,0,0,0,"0.0%",25,0,"0.0","Saug 9mm","",NA,53,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Pro League"
"987","12526662440579361741","Kismet","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Enigma6","L",180,27,24,3,1.12,26.3,23.3,3920,381.2,5153,33,6,1,0,0,1,0,0,0,"0.0%",25,0,"0.0","Saug 9mm","",NA,71,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,"Pro League"
"988","12526662440579361741","Mayhem","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Enigma6","L",180,20,26,-6,0.77,19.4,25.3,3275,318.5,4092,30,11,0,0,0,0,0,0,0,"0.0%",27,0,"0.0","Maddox RFB","",NA,50,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,"Pro League"
"989","12526662440579361741","Skyz","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Luminosity","W",250,29,20,9,1.45,28.2,19.4,4320,420.1,5398,33,4,1,0,1,0,0,0,0,"0.0%",21,0,"0.0","Maddox RFB","",NA,94,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,"Pro League"
"990","12526662440579361741","Slacked","pro-w11-2","2019-06-24 20:35:15 UTC",617,"Hardpoint","Frequency","Luminosity","W",250,19,24,-5,0.79,18.5,23.3,3040,295.6,4065,28,10,0,0,0,1,0,0,0,"0.0%",26,0,"0.0","Saug 9mm","",NA,105,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"Pro League"
"991","12567088411899722531","Aches","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Team Envy","L",1,1,6,-5,0.17,1.2,7.2,125,14.9,936,1,0,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","ICR-7","",NA,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"992","12567088411899722531","Alexx","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Reciprocity","W",6,4,6,-2,0.67,4.8,7.2,525,62.7,1183,7,3,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","Maddox RFB","",NA,0,0,0,7,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"993","12567088411899722531","Assault","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Team Envy","L",1,2,6,-4,0.33,2.4,7.2,300,35.9,612,3,1,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","ICR-7","",NA,0,0,0,7,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"994","12567088411899722531","Decemate","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Team Envy","L",1,6,6,0,1,7.2,7.2,655,78.3,1242,6,0,2,0,0,0,0,0,0,"0.0%",7,0,"0.0","Saug 9mm","",NA,0,0,0,7,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"995","12567088411899722531","Denz","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Reciprocity","W",6,8,2,6,4,9.6,2.4,1100,131.5,1589,9,1,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","ICR-7","",NA,0,0,0,7,0,0,5,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,"Pro League"
"996","12567088411899722531","Dylan","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Reciprocity","W",6,10,4,6,2.5,12,4.8,1315,157.2,1184,11,1,0,0,1,0,0,0,0,"0.0%",7,0,"0.0","Saug 9mm","",NA,0,0,0,7,1,1,3,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Pro League"
"997","12567088411899722531","Gunless","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Team Envy","L",1,4,6,-2,0.67,4.8,7.2,400,47.8,765,4,0,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","Maddox RFB","",NA,0,0,0,7,2,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"998","12567088411899722531","Silly","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Team Envy","L",1,5,6,-1,0.83,6,7.2,975,116.5,1435,9,4,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","Maddox RFB","",NA,0,0,0,7,2,0,1,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"999","12567088411899722531","Wuskin","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Reciprocity","W",6,6,3,3,2,7.2,3.6,1085,129.7,1149,9,3,0,0,0,0,0,0,0,"0.0%",7,0,"0.0","Maddox RFB","",NA,0,0,0,7,1,0,4,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pro League"
"1000","12567088411899722531","Zed","pro-w12-7","2019-07-02 22:24:48 UTC",502,"Search & Destroy","Payload","Reciprocity","W",6,2,4,-2,0.5,2.4,4.8,600,71.7,753,6,4,0,1,0,0,0,0,0,"0.0%",7,0,"0.0","Saug 9mm","",NA,0,0,0,7,0,1,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
"1001","12576764305280209610","Crimsix","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","OpTic Gaming","W",250,22,17,5,1.29,25.3,19.6,3385,389.8,4606,0,8,1,0,1,0,0,0,0,"0.0%",18,0,"0.0","ICR-7","Seraph",NA,94,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,"Pro League"
"1002","12576764305280209610","Denz","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","Reciprocity","L",88,18,24,-6,0.75,20.7,27.6,3075,354.1,4462,0,10,3,0,0,0,0,0,0,"0.0%",25,0,"0.0","Maddox RFB","Prophet",NA,24,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pro League"
"1003","12576764305280209610","Karma","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","OpTic Gaming","W",250,27,23,4,1.17,31.1,26.5,3635,418.6,4742,0,4,3,0,0,1,0,0,0,"0.0%",24,0,"0.0","Maddox RFB","Ruin",NA,56,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,"Pro League"
"1004","12576764305280209610","Scump","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","OpTic Gaming","W",250,19,20,-1,0.95,21.9,23,3920,451.4,4185,0,10,4,0,0,1,0,0,0,"0.0%",22,0,"0.0","Maddox RFB","Crash",NA,63,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pro League"
"1005","12576764305280209610","Seany","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","Reciprocity","L",88,15,24,-9,0.62,17.3,27.6,3100,357,3543,0,11,1,0,0,0,0,0,0,"0.0%",24,0,"0.0","ICR-7","Crash",NA,9,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Pro League"
"1006","12576764305280209610","TJHaly","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","OpTic Gaming","W",250,30,19,11,1.58,34.5,21.9,4410,507.9,5149,0,7,1,0,0,0,0,0,0,"0.0%",20,0,"0.0","Saug 9mm","Battery",NA,55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,0,0,"Pro League"
"1007","12576764305280209610","Tommey","pro-w1-12","2019-02-07 22:19:38 UTC",521,"Hardpoint","Hacienda","Reciprocity","L",88,28,24,4,1.17,32.2,27.6,3755,432.4,4406,0,2,1,0,0,0,0,0,0,"0.0%",25,0,"0.0","Maddox RFB","Ruin",NA,28,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,"Pro League"
