id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
MLG_Anaheim_Team Infused_Rise Nation_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Team Infused,NA,Zer0,NA,19,21,2,NA,7,Rise Nation,16
MLG_Anaheim_Team Infused_Rise Nation_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Team Infused,NA,Urban,NA,22,23,0,NA,7,Rise Nation,16
MLG_Anaheim_Team Infused_Rise Nation_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Team Infused,NA,Peatie,NA,24,34,1,NA,2,Rise Nation,1
MLG_Anaheim_Team Infused_Rise Nation_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Team Infused,NA,MarkyB,NA,28,12,0,NA,2,Rise Nation,1
MLG_Anaheim_Team Infused_Rise Nation_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Team Infused,NA,Zer0,NA,32,24,1,NA,2,Rise Nation,1
MLG_Anaheim_Team Infused_Rise Nation_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Team Infused,NA,Urban,NA,35,38,0,NA,2,Rise Nation,1
MLG_Anaheim_Rise Nation_Team Infused_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Rise Nation,NA,Classic,NA,21,32,0,NA,1,Team Infused,2
MLG_Anaheim_Rise Nation_Team Infused_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Rise Nation,NA,Loony,NA,35,31,1,NA,1,Team Infused,2
MLG_Anaheim_Rise Nation_Team Infused_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Rise Nation,NA,Octane,NA,19,25,0,NA,1,Team Infused,2
MLG_Anaheim_Rise Nation_Team Infused_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Rise Nation,NA,Slacked,NA,32,31,0,NA,1,Team Infused,2
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Luminosity Gaming,NA,Nameless,NA,34,43,71,NA,246,FaZe Clan,250
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Luminosity Gaming,NA,Spacely,NA,33,33,97,NA,246,FaZe Clan,250
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Luminosity Gaming,NA,Saints,NA,32,36,119,NA,246,FaZe Clan,250
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Luminosity Gaming,NA,StuDyy,NA,53,39,68,NA,246,FaZe Clan,250
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,FaZe Clan,NA,Clayster,NA,40,35,25,NA,250,Luminosity Gaming,246
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,FaZe Clan,NA,Enable,NA,47,36,112,NA,250,Luminosity Gaming,246
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,FaZe Clan,NA,Attach,NA,29,36,78,NA,250,Luminosity Gaming,246
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,FaZe Clan,NA,ZooMaa,NA,34,45,98,NA,250,Luminosity Gaming,246
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,FaZe Clan,NA,Clayster,NA,9,6,0,NA,6,Luminosity Gaming,3
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,FaZe Clan,NA,Enable,NA,7,5,2,NA,6,Luminosity Gaming,3
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,FaZe Clan,NA,Attach,NA,8,7,0,NA,6,Luminosity Gaming,3
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,FaZe Clan,NA,ZooMaa,NA,5,6,1,NA,6,Luminosity Gaming,3
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Luminosity Gaming,NA,Nameless,NA,5,9,1,NA,3,FaZe Clan,6
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Luminosity Gaming,NA,Spacely,NA,5,5,1,NA,3,FaZe Clan,6
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Luminosity Gaming,NA,Saints,NA,4,9,0,NA,3,FaZe Clan,6
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Luminosity Gaming,NA,StuDyy,NA,9,6,0,NA,3,FaZe Clan,6
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Luminosity Gaming,NA,Nameless,NA,26,22,1,NA,9,FaZe Clan,5
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Luminosity Gaming,NA,Spacely,NA,18,22,0,NA,9,FaZe Clan,5
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Luminosity Gaming,NA,Saints,NA,23,17,1,NA,9,FaZe Clan,5
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Luminosity Gaming,NA,StuDyy,NA,18,21,1,NA,9,FaZe Clan,5
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,FaZe Clan,NA,Clayster,NA,15,24,0,NA,5,Luminosity Gaming,9
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,FaZe Clan,NA,Enable,NA,26,22,0,NA,5,Luminosity Gaming,9
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,FaZe Clan,NA,Attach,NA,23,18,0,NA,5,Luminosity Gaming,9
MLG_Anaheim_FaZe Clan_Luminosity Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,FaZe Clan,NA,ZooMaa,NA,17,22,1,NA,5,Luminosity Gaming,9
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Capture the Flag_Breach,MLG_Anaheim,LAN,Capture the Flag,Breach,Luminosity Gaming,NA,Nameless,NA,13,15,0,NA,3,FaZe Clan,1
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Capture the Flag_Breach,MLG_Anaheim,LAN,Capture the Flag,Breach,Luminosity Gaming,NA,Spacely,NA,11,11,2,NA,3,FaZe Clan,1
MLG_Anaheim_Luminosity Gaming_FaZe Clan_Capture the Flag_Breach,MLG_Anaheim,LAN,Capture the Flag,Breach,Luminosity Gaming,NA,Saints,NA,13,14,1,NA,3,FaZe Clan,1
